delay,,condition,text.started,text.stopped,textbox.text,textbox.started,textbox.stopped,button.started,button.stopped,button.numClicks,,
0.4,,exp,18.1047498,None,"400
",18.1047498,None,18.1047498,None,1,,
0.7,,exp,30.6089905,None,1000,30.6089905,None,30.6089905,None,2,,
0.1,,exp,42.7779187,None,500,42.7779187,None,42.7779187,None,3,,0.303658897
0.7,,exp,56.6216888,None,600,56.6216888,None,56.6216888,None,4,,
0.7,,exp,68.477711,None,300,68.477711,None,68.477711,None,5,,0.303658897
0.4,,exp,77.1238398,None,200,77.1238398,None,77.1238398,None,6,,
0.4,,exp,85.4559428,None,700,85.4559428,None,85.4559428,None,7,,
0.1,,exp,93.243087,None,500,93.243087,None,93.243087,None,8,,
0.1,,exp,104.1116753,None,"300
",104.1116753,None,104.1116753,None,9,,
0.4,,exp,110.7924618,None,200,110.7924618,None,110.7924618,None,10,,
0.7,,exp,114.7192116,None,100,114.7192116,None,114.7192116,None,11,,
0.1,,exp,122.0891702,None,400,122.0891702,None,122.0891702,None,12,,
0.1,,exp,126.707323,None,600,126.707323,None,126.707323,None,13,,
0.7,,exp,133.7236923,None,800,133.7236923,None,133.7236923,None,14,,
0.4,,exp,140.9773851,None,400,140.9773851,None,140.9773851,None,15,,
0.4,,exp,145.8269586,None,300,145.8269586,None,145.8269586,None,16,,
0.7,,exp,150.4297291,None,400,150.4297291,None,150.4297291,None,17,,
0.1,,exp,156.7360492,None,500,156.7360492,None,156.7360492,None,18,,
0.4,,exp,164.3014284,None,999,164.3014284,None,164.3014284,None,19,,
0.4,,exp,174.5314001,None,999,174.5314001,None,174.5314001,None,20,,
0.1,,exp,184.7105184,None,300,184.7105184,None,184.7105184,None,21,,
0.7,,exp,191.3531777,None,200,191.3531777,None,191.3531777,None,22,,
0.1,,exp,196.2809748,None,100,196.2809748,None,196.2809748,None,23,,
0.7,,exp,201.948459,None,100,201.948459,None,201.948459,None,24,,
0.4,,exp,211.7508536,None,500,211.7508536,None,211.7508536,None,25,,
0.7,,exp,219.8633356,None,600,219.8633356,None,219.8633356,None,26,,
0.1,,exp,226.4792621,None,500,226.4792621,None,226.4792621,None,27,,
0.4,,exp,233.2390271,None,999,233.2390271,None,233.2390271,None,28,,
0.1,,exp,238.5054679,None,300,238.5054679,None,238.5054679,None,29,,
0.4,,exp,246.8358085,None,1000,246.8358085,None,246.8358085,None,30,,
0.7,,exp,258.2640954,None,400,258.2640954,None,258.2640954,None,31,,
0.7,,exp,279.1557009,None,900,279.1557009,None,279.1557009,None,32,,
0.1,,exp,295.0286217,None,,295.0286217,None,295.0286217,None,33,,
0.7,,exp,298.6791796,None,700,298.6791796,None,298.6791796,None,34,,
0.1,,exp,307.0680688,None,200,307.0680688,None,307.0680688,None,35,,
0.4,,exp,313.736039,None,800,313.736039,None,313.736039,None,36,,
0.1,,exp,324.5388595,None,800,324.5388595,None,324.5388595,None,37,,
0.4,,exp,336.3306293,None,700,336.3306293,None,336.3306293,None,38,,
0.7,,exp,342.9203628,None,300,342.9203628,None,342.9203628,None,39,,
0.7,,exp,348.3671846,None,200,348.3671846,None,348.3671846,None,40,,
0.1,,exp,357.9617817,None,400,357.9617817,None,357.9617817,None,41,,
0.4,,exp,369.2443999,None,200,369.2443999,None,369.2443999,None,42,,
0.1,,exp,375.5761823,None,600,375.5761823,None,375.5761823,None,43,,
0.4,,exp,385.1959905,None,300,385.1959905,None,385.1959905,None,44,,
0.7,,exp,389.3936353,None,200,389.3936353,None,389.3936353,None,45,,
0.1,,exp,394.9481595,None,100,394.9481595,None,394.9481595,None,46,,
0.7,,exp,401.3948206,None,400,401.3948206,None,401.3948206,None,47,,
0.4,,exp,407.6710815,None,200,407.6710815,None,407.6710815,None,48,,
0.7,,exp,411.7274208,None,900,411.7274208,None,411.7274208,None,49,,
0.1,,exp,421.9455322,None,500,421.9455322,None,421.9455322,None,50,,
0.4,,exp,427.9912622,None,300,427.9912622,None,427.9912622,None,51,,
0.4,,exp,432.5699263,None,200,432.5699263,None,432.5699263,None,52,,
0.7,,exp,439.1460825,None,800,439.1460825,None,439.1460825,None,53,,
0.1,,exp,445.8384724,None,800,445.8384724,None,445.8384724,None,54,,
0.7,,exp,452.5757736,None,550,452.5757736,None,452.5757736,None,55,,
0.4,,exp,460.5965347,None,500,460.5965347,None,460.5965347,None,56,,
0.1,,exp,490.599926,None,400,490.599926,None,490.599926,None,57,,
